2019	𞥒𞥐𞥑𞥙
23	𞥒𞥓
0123456789  𞥐𞥑𞥒𞥓𞥔𞥕𞥖𞥗𞥘𞥙
Al	𞤀𞤤
Alla	𞤀𞤤𞥆𞤢
Ammbaasad	𞤀𞤥𞤦𞤢𞥄𞤧𞤢𞤣
Baaba	𞤄𞤢𞥄𞤦𞤢
Buubakar	𞤄𞤵𞥅𞤦𞤢𞤳𞤢𞤪
Daande	𞤁𞤢𞥄𞤲'𞤣𞤫
E	𞤉
Ene	𞤉𞤲𞤫
GISE	𞤘𞤋𞤅𞤉
GOONGA	𞤘𞤌𞥅𞤐'𞤘𞤀
Gila	𞤘𞤭𞤤𞤢
Gise	𞤘𞤭𞤧𞤫
Goonga	𞤘𞤮𞥅𞤲'𞤺𞤢
Hajji	𞤖𞤢𞤶𞥆𞤭
Hammee	𞤖𞤢𞤥𞥆𞤫𞥅
Hay	𞤖𞤢𞤴
Ibiraahiima	𞤋𞤦𞤭𞤪𞤢𞥄𞤸𞤭𞥅𞤥𞤢
Ii	𞤋𞥅
Jaabawol	𞤔𞤢𞥄𞤦𞤢𞤱𞤮𞤤
Joomiraaɗo	𞤔𞤮𞥅𞤥𞤭𞤪𞤢𞥄𞤯𞤮
KAALDEN	𞤑𞤀𞥄𞤂𞤁𞤉𞤐
Kaalden	𞤑𞤢𞥄𞤤𞤣𞤫𞤲
Kanko	𞤑𞤢𞤲𞤳𞤮
Keytaa	𞤑𞤫𞤴𞤼𞤢𞥄
Ko	𞤑𞤮
Kono	𞤑𞤮𞤲𞤮
Laamu	𞤂𞤢𞥄𞤥𞤵
Leydi	𞤂𞤫𞤴𞤣𞤭
Leñol	𞤂𞤫𞤻𞤮𞤤
Lih	𞤂𞤭𞤸
Maa	𞤃𞤢𞥄
Maal	𞤃𞤢𞥄𞤤
Makki	𞤃𞤢𞤳𞥆𞤭
Malal	𞤃𞤢𞤤𞤢𞤤
Mali	𞤃𞤢𞤤𞤭
Mbele	𞤐'𞤄𞤫𞤤𞤫
Mboɗo	𞤐'𞤄𞤮𞤯𞤮
Muritani	𞤃𞤵𞤪𞤭𞤼𞤢𞤲𞤭
Njiɗ-mi	𞤐'𞤔𞤭𞤯-𞤥𞤭
Njiɗ-ɗen	𞤐'𞤔𞤭𞤯-𞤯𞤫𞤲
Pulaagu	𞤆𞤵𞤤𞤢𞥄𞤺𞤵
Pulaar	𞤆𞤵𞤤𞤢𞥄𞤪
Rewa	𞤈𞤫𞤱𞤢
Sabu	𞤅𞤢𞤦𞤵
Sal	𞤅𞤢𞤤
Sammba	𞤅𞤢𞤥𞤦𞤢
Senegaal	𞤅𞤫𞤲𞤫𞤺𞤢𞥄𞤤
Senegaalnaaɓe	𞤅𞤫𞤲𞤫𞤺𞤢𞥄𞤤𞤲𞤢𞥄𞤩𞤫
Sikke	𞤅𞤭𞤳𞥆𞤫
So	𞤅𞤮
Sukaaɓe	𞤅𞤵𞤳𞤢𞥄𞤩𞤫
Tabital	𞤚𞤢𞤦𞤭𞤼𞤢𞤤
Tawde	𞤚𞤢𞤱𞤣𞤫
Tonngirten	𞤚𞤮𞤲𞤺𞤭𞤪𞤼𞤫𞤲
Winndannde	𞤏𞤭𞤲𞤣𞤢𞤲𞤣𞤫
Won	𞤏𞤮𞤲
Yanti	𞤒𞤢𞤲𞤼𞤭
a	𞤢
aan	𞤢𞥄𞤲
